,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
32,"Cyient
3.6",Data Scientist,Bengaluru,"Cyient is a global engineering and technology solutions company. As a Design, Build, and Maintain partner for leading organizations worldwide, we take solution ownership across the value chain to help clients focus on their core, innovate, and stay ahead of the curve. We leverage digital technologies, advanced analytics capabilities, and our domain knowledge and technical expertise, to solve complex business problems.
With over 15,000 employees globally, we partner with clients to operate as part of their extended team in ways that best suit their organization’s culture and requirements. Our industry focus includes aerospace and defence, healthcare, telecommunications, rail transportation, semiconductor, geospatial, industrial, and energy.
Job Description
Connecting data into Power BI various sources like Excel, CSV, SharePoint files & folders.
Working on Power Query editor for Data formatting to Clean & Model the Data as per required.
Working on Advance editor, adding new columns, Merge & Append Queries, Data Type, Replace Values, Handling Error Values, Pivot & Unpivot Columns.
Working on Calculated columns, Measures, Tables by using DAX functions.
Developing the dashboards by using various Charts like Bar Chart, Column Chart, Line Chart, Line with Column Chart, Pie Chart, Donut Chart, Gauge, Card, Table, Matrix table, Small and Multiple Chart. Importing Custom Visuals from Microsoft Power Bi gallery as per requirement.
Working on Slicers & Filters, Drill-through pages, Bookmarks, Buttons, Advanced Tool Tips, Sync Slicers.
Publishing Reports into the Power BI Report Server and Scheduled the dashboard refreshing.
To maintain Continues-working relation with customer to accomplish project tasks, we have adopted Agile Methodology to Co- ordinate and plan the project between Onsite & Offshore team. We plan and build Reports Draft copies, decide upon Robust Data sources, dividing tasks to sprints and review them through scrum meetings, Maintaining project planner (Gantt Chart)/jira ticketing software.
Hands on experience in handing Data sources like SQL ,AWS will be added advantage
Hands on Experience in writing python coding with be added advantage
Good to have knowledge on R script.
Skills & Experience
Agile Methodology, Microsoft Power BI, Structured Query Language (SQL)
Cyient is an Equal Opportunity Employer.

Cyient recruits, employs, trains, compensates, and promotes regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, veteran status, and other protected status as required by applicable law. We are proud to be a diverse and inclusive company where our people can focus their whole self on solving problems that matter.
Show Less
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1991,$500 million to $1 billion (USD)
33,Ambee,Data Science - Intern,Bengaluru,"All about Ambee

Ambee is building the data foundation to fight climate change. We leverage the power of data science, combined with proprietary on-ground and earth observational data, to give businesses and governments the weapons they need in the war on climate change. Ambee helps professionals, experts, and trailblazers across the globe take action and save the planet.

Your responsibilities

We deal with a lot of data, including data pre-processing, writing intrinsic scripts, and automating pipelines.
Identify predictors and causes of customer/environment-related problems and implement novel approaches related to forecasting and prediction based on research and a lot of creative innovations welcomed.
Collaborate with multiple teams as an intern of quantitative analysis and where you develop solutions that utilize the highest standards of analytical rigor and data integrity
What we’re looking for

We do not care about your CGPA as long as you are skilled and fit our requirements.
Thorough understanding of machine learning, deep learning, statistics and data processing
Experience using Numpy, Pandas, matplotlib, seaborn, sklearn and tensorflow (more libraries like plotly, pycaret, geopandas are an added benefit)
Familiarity with cloud computing and AWS would be helpful
Are you looking for a specific role?
We’re continuously looking for people who bring new perspectives to our work. We know the impact that curiosity and fearlessness can have. If you are that person and want to join Ambee for a specific role, then write to us at hr@getambee.com.

We’ll get in touch with you.
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
34,"Observe.AI
4.5",Machine Learning Data Associate,Bengaluru,"About Us:

Observe.AI is the leading conversation intelligence platform for boosting contact center performance. Built on the industry’s most accurate AI engine that analyzes 100% of interactions across channels, Observe.AI maximizes agent performance, pinpoints new revenue and coaching opportunities, and up-levels quality assurance and compliance.

Observe.AI’s powerful workflow automation allows contact centers to apply meaningful insights and take action at speed and scale. The result is stronger business outcomes, such as better customer experience, higher revenue, and better retention.

Observe.AI is trusted by hundreds of customers and partners across industries – including Pearson, 23andMe, Accolade, Group 1 Automotive, and Public Storage – and is backed by Softbank Vision Fund 2, Zoom, Menlo Ventures, Scale Ventures, and Nexus Ventures. Observe.AI is headquartered in Redwood City, CA with offices in Bangalore, India. For more information, please visit www.observe.ai.

The Opportunity:

We are seeking talented and passionate individuals to join us in providing data support for the research, development, and maintenance of product features that involve the application of AI/ Machine Learning/ Deep Learning in Natural Language Understanding and Speech Recognition. You will work alongside Machine Learning Scientists and Engineers in helping transform the Contact Centre industry with AI/ML in a faced-paced startup environment.
What You Will Do as a Machine Learning Data Associate:
Perform data annotation, augmentation, or analysis tasks to support Machine Learning efforts in Natural Language Understanding or Speech Recognition, working in a dynamic startup environment
Work closely with stakeholders within the Machine Learning team to understand the requirements and expectations
Deliver assigned tasks with acceptable quality and turnaround time
Participate/ contribute to initiatives for improving overall process and efficiency.
Who you are :
Bachelor’s degree in any discipline.Excellent written and oral communication skills in English
Ability to understand and interpret English conversations in different accents.
Strong analytical and logical reasoning skills.
Good familiarity with handling data in spreadsheets or other data entry/ analysis software (e.g., Microsoft Excel).
Comfort working on tasks that are primarily repetitive in nature.
Excited about working in a fast-paced, outcome-driven startup environment.
Previous experience in data annotation/ analysis is a plus.
What we offer:

Excellent medical insurance options
Yearly privilege and sick leaves as per Karnataka S&E Act.
Generous holidays (National and festive) recognition and parental leave policies.
Fun events to build culture across the organization.

If you are ambitious, make an impact wherever you go, and you're ready to shape the future of Observe.AI, we encourage you to apply. For more information, visit www.observe.ai.

We welcome all people. We celebrate diversity of all kinds and are committed to creating an inclusive culture built on a foundation of respect for all individuals. We seek to hire, develop and retain talented people from all backgrounds. Individuals from non-traditional backgrounds, historically marginalized or underrepresented groups are strongly encouraged to apply.

Observe.AI is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Observe AI does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Observe.AI also strives for a healthy and safe workplace and strictly prohibits harassment of any kind.
Show Less
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2017,$5 to $25 million (USD)
35,"Even Healthcare
5.0",Data Scientist,Bengaluru,"Hospitals generate some of the world's richest and most sensitive data. This is often unstructured, siloed and fragmented. Our engineering mission is to give our users transparent, comprehensive access to medical services and their own medical data by integrating directly with hospitals and diagnostics labs and building responsive, intuitive user interfaces.
A sick user’s journey reveals a lot of pain points in current healthcare.

User goes to a hospital, stands in a queue (possibly fills a pre-declaration form for covid), pays at the counter, waits for their turn at the doctor, gets a consultation, and finally leaves.
Wait - I missed the first step - User avoids going to a doctor. I bet you’re guilty of this. The journey above may seem simple enough, but when you’re sick, each step feels like a task.
At Even, we believe that with the right combination of tech and motivation, we can solve everything. After removing payment from user journeys, we now want to solve for visit experiences, focus on teleconsultations, enable users to get home tests - all the while making things faster and secure - because you shouldn’t have to be patient when you’re sick (no pun intended).
You will be grappling with all data types Even deals with (medical, financial, transactional, and more) holding the key to everything that happens in the company. You will be the point of contact for any quantitative analysis required to take decisions, assess problems, and improve our product.
What you will do
Build up Even's data science toolkit
Analyse data coming from:
Our lab partners
Our hospital partners
Our website (user interactions, drop offs, funnels, etc.)
Our sales and support teams (leads, sales, support exchanges, customer satisfaction)
Our Doctors (prescriptions, reports, custom plans)
Our app (payouts, reimbursements, claims data)
Provide key insights into Even’s business and product, to enable decisions to be supported by clear empirical evidence, company-wide
What you will need
Proficiency in Python
Familiarity in the data science python stack (numpy, pandas, matplotlib, scikit-learn)
Familiarity with basic mathematical tools useful for statistical analysis and basic modelling (or a strong willingness to learn!)
Some real world experience with real world data sets and visualisation/analysis tasks
Good to have
Knowledge of Machine Learning basics and Tensorflow/Pytorch/Jax
Real world experience of integrating with external APIs to fetch data, building ETL pipelines, or Data Engineering
Job Locations
Bangalore/Abu Dhabi
Compensation & Benefits

Compensation
Benefits, Days off, Expenses & Reimbursements
Where to apply
Drop us an email at jobs@even.in and our talent team will reach out to you.
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
36,"JLL
3.9",Data Scientist 2,Bengaluru,"JLL supports the Whole You, personally and professionally.

Our people at JLL are shaping the future of real estate for a better world by combining world class services, advisory and technology to our clients. We are committed to hiring the best, most talented people in our industry; and we support them through professional growth, flexibility, and personalized benefits to manage life in and outside of work. Whether you’ve got deep experience in commercial real estate, skilled trades, and technology, or you’re looking to apply your relevant experience to a new industry, we empower you to shape a brighter way forward so you can thrive professionally and personally.

Data Scientist 2
JLL Technologies CoE

What this job involves:
About the role
#JLLTechAmbitions
Jones Lang LaSalle, an international commercial real estate firm is looking for an IT Operations Analyst – Network Circuit Management. Candidates applying to the new position should consider seriously the commitment required of those working for a highly motivated professional services company with a high expectation of its core IT infrastructure and business applications. The role will be functioning as a direct report to the Director IT Operations or equivalent and it will be pivotal in the management and optimization of the global JLL infrastructure. The role will be liaising with network support teams, JLL management layers and third-party providers to ensure an optimal circuit sizing and a cost-effective operations following the defined processes.
Responsibilities
Ability to understand business problems across both JLL Business Lines (Capital Markets, Leasing) and Corporate Services (HR, Finance)
Experience with SQL with data acquisition and exploratory data analysis. Must have attention to detail as well as a nose for understanding complex datasets needed for analysis.
Work closely with Enterprise Analytics / Stakeholder teams to build out analytical solutions
Leverage data, statistical and visualization tools for building the project deliverables includingVisualization dashboard with key dimension / metrics
Analysis deck with key insights and actionable insights relevant to stakeholders
Advanced analytics results including correlation, predictive and testing results
Datasets for operationalizing analytical findings with stakeholder groups

Focus on continuous learning and development across methods, tools and analytical problems.
Manage current project deliverables, communicate roadblocks, and find solutions to move projects forward

Sounds like you? To apply you need to be:
Experience & Education
Bachelor’s degree in Math, Statistics, Engineering, Computer science, Psychology, Other quantitative fields
Master’s degree preferred
3-5 years of experience in data and analysis in corporate and consulting settings
3+ years of experience with analytical problem formulation and analytics / insight development utilizing statistical tools such as R, Python, Stata, SAS, SPSS, etc.
3+ years of experience with SQL
3+ years of experience in using Microsoft Excel, Word, and PowerPoint
3+ years of experience with visualization tools (Tableau, Power BI, etc.)
Experience with Databricks a plus

Technical Skills & Competencies
Deep skills with managing data from multiple platforms, identifying anomalies, integrating datasets. Core SQL skills necessary to pull data from JLL, External and ad hoc datasets.
Analytical mindset driven to understand the data and building actionable insights
Experience with the analytical tool kit across Data (SQL, Databricks), Statistical (R, Python), Visualization (Tableau, Power BI) and Microsoft suite (Excel, Word, PowerPoint).
Excellent communication skills, ability to communicate with technical and non-technical audiences
Commitment to learning including new analytical methods, tools, and problems

What we can do for you:
You’ll join an entrepreneurial, inclusive culture. One where we succeed together – across the desk and around the globe. Where like-minded people work naturally together to achieve great things.
Our Total Rewards program reflects our commitment to helping you achieve your ambitions in career, recognition, well-being, benefits and pay.
Join us to develop your strengths and enjoy a fulfilling career full of varied experiences. Keep those ambitions in sights and imagine where JLL can take you...
Apply today!
If this job description resonates with you, we encourage you to apply even if you don’t meet all of the requirements below. We’re interested in getting to know you and what you bring to the table!

Personalized benefits that support personal well-being and growth:

JLL recognizes the impact that the workplace can have on your wellness, so we offer a supportive culture and comprehensive benefits package that prioritizes mental, physical and emotional health.

About JLL –

We’re JLL—a leading professional services and investment management firm specializing in real estate. We have operations in over 80 countries and a workforce of over 102,000 individuals around the world who help real estate owners, occupiers and investors achieve their business ambitions. As a global Fortune 500 company, we also have an inherent responsibility to drive sustainability and corporate social responsibility. That’s why we’re committed to our purpose to shape the future of real estate for a better world. We’re using the most advanced technology to create rewarding opportunities, amazing spaces and sustainable real estate solutions for our clients, our people, and our communities.

Our core values of teamwork, ethics and excellence are also fundamental to everything we do and we’re honored to be recognized with awards for our success by organizations both globally and locally.

Creating a diverse and inclusive culture where we all feel welcomed, valued and empowered to achieve our full potential is important to who we are today and where we’re headed in the future. And we know that unique backgrounds, experiences and perspectives help us think bigger, spark innovation and succeed together.
Show Less
Report",#N/A,10000+ Employees,Company - Public,Real Estate,Real Estate,#N/A,$5 to $10 billion (USD)
37,"Citi
3.9",Data Scientist - Driverless AI,Bengaluru,"About CITI
Citi's mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. We have 200 years of experience helping our clients meet the world's toughest challenges and embrace its greatest opportunities.
Analytics and Information Management (AIM)
Citi AIM was established in 2003, and is located across multiple cities in India – Bengaluru, Chennai, Pune and Mumbai. It is a global community that objectively connects and analyzes information, to create actionable intelligence for our business leaders. It identifies fact-based opportunities for revenue growth in partnership with the businesses. The function balances customer needs, business strategy, and profit objectives using best in class and relevant analytic methodologies.
X
What do we do?
The North America Consumer bank information management team provides reporting and business Insights support to help the business monitor/size the impact of various business strategies, campaigns and portfolio actions.
The team helps the business take strategic decisions based on lots of data exploration, thorough understanding of business needs backed by structured thinking.
Few notables among the multiple areas that we work in:
Cutting Edge Data, Analytical, Modelling Tools and Platforms – Build, Setup and adopt cutting edge technologies and technology platforms to improve analysts efficiency, time to market and controls.
Business critical Dashboards: self-explanatory and detailed dashboards to review the portfolio health with the business leaders with analytical backing of particular trends of interest
Assessing Campaign Impacts: Understand the campaign setup and through data exploration get the actual campaign performance in terms of P&L. Using the data put together a solution to optimize the marketing spends based on campaign performance.
Opportunity sizing: Help the business with sizing the impact of various regulatory / market / business / strategic changes to the portfolio
Process Efficacy: Periodically review existing process and identify potential ways to streamline the process
Business Intelligence Tools: Deploy existing reports to other advanced reporting platforms
In order to achieve the best in class analytical solutions across business units we use the best in class tools and technology.
What’s expected from you?
As a senior analytics technology leader, we are seeking a candidate who should be able to perform below behaviors in their day to day role:
Data obsession – Own data platforms to streamline data creation, management and maintenance to govern the organization data and make it available in most compliant manner to analysts in conjunction with our technology partners.
Technology leadership – Manage team members and technology partners and their deliverables to fulfill analytics business projects
Client Obsession – Create client centric analytic solution to business problems. Individual should be able to have a holistic view of multiple businesses and develop analytics solutions accordingly.
Analytic Project Execution – Own and deliver multiple and complex analytic projects. This would require an understanding of business context, conversion of business problems to formulate analytical methodology, identifying trends and patterns with data
Stakeholder Management: Experience in stakeholder management across various functions and regions.
Presentation Skills : Delivering high class presentations to share the thoughts, the solutions or the problem statement to business stakeholders and senior management
Project Management – Should have skillset to manage project in terms of creating project plan, assigning responsibilities,
Skillset you should possess
The most important skill that our analyst should possess is their love for data and their eagerness for new challenges & solving new problems. Apart from these, they should also have the following skillset
Basic Qualifications
Degree in computer science, engineering, mathematics, operations research or other quantitative field and strong relevant industry experience
Preferred masters in above fields
5+ years of industry experience in the field of ML/data science with using variety of ML techniques such as supervised, unsupervised, deep learning and NLP
Has the ability to analyze and interpret modeling results
Experience with ML open source tools and APIs like Scikit-Learn, Tensor flow/ keras, Numpy, scipy, pandas, matplotlib, just to name a few.
Experience with NLP open source tools like NLTK, Gensim, spaCy, TextBlob, etc.
Experience with Big data technologies like Hive, PySpark, etc.
Experience with AutoML Technologies, specifically, H2O Driverless AI
Experience with data munging, manipulating large datasets, data engineering and visualization
Demonstrated strong coding and programming abilities for at least Python, SQL, and Linux
Understanding of statistics and probabilities
Good communication skills with ability to write proper documentation, and team player
Experience/understanding cloud platform like AWS is a plus
Ability to work on projects without continuous supervision in individual capacity
Experience in working on Credit Cards and Retail Banking products is a plus
Control orientated and Risk awareness
Other details
Location: Bangalore, India
Employment: Full Time
Industry: Credit Cards, Financial Services, Banking
-
Job Family Group:
Decision Management
-
Job Family:
Specialized Analytics (Data Science/Computational Statistics)
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting
Show Less
Report",#N/A,10000+ Employees,Company - Public,Finance,Investment & Asset Management,1812,$10+ billion (USD)
38,"Kinara Capital
4.3",Data Scientist 1,Bengaluru,"Bengaluru
Data Science & Engineering
Report to: Senior Data Scientist
Job Responsibilities:
Define the problem statement
Build and clean datasets
Exploratory data analysis
Feature engineering
Apply ML algorithms and assess the performance
Codify for deployment
Test and troubleshoot the code
Communicate analysis to stakeholders
Qualifications:
Education: MS/MTech/Btech graduates or equivalent with a focus on data science and quantitative fields (CS, Engineering, Mathematics, Economics)
Work Experience: 1+ years of proven experience in ML/AI with Python
Other Requirements:
Domain knowledge in Financial Services is a big plus
Skills & Competencies:
Technical Skills:
Proven experience in usage of Python and SQL
Excellent in programming and statistics
Working knowledge of tools and utilities - AWS, DevOps with Git, Selenium, Postman, Airflow, PySpark
Soft Skills:
Deep Curiosity and Humility
Strong communications verbal and written
Competencies:
High social responsibility and mission-driven culture
Team player
High Integrity and focus on Building relationships
Inspiring Leader who instills confidence
People-oriented and Goal-oriented
Behavioral Traits:
Initiative
Energetic
Bias for Action and a commitment to our social mission
For any questions on job openings & application details, write to us at:
careers@kinaracapital.com
Show Less
Report",#N/A,501 to 1000 Employees,Company - Private,Finance,Banking & Lending,2011,Unknown / Non-Applicable
39,"slice
3.6",Data Scientist,Bengaluru,"Company Description

slice, the simplest way to pay.
We are a one-stop payment app for all your spending needs. Our goal is to make money management simpler & faster for you. We provide an easy & transparent app to help our members transact seamlessly using card or UPI and manage all their spends at one place. We have 12Mn+ registered members with an average age of 27, making us a market leader for the Gen-Z and millennials.
Oh, btw, our users get up to 2% cashback on all card spends and enjoy new offers every week with spark. They can also scan & pay in a flash and easily send money to friends using slice UPI.
We are backed by leading investors such as Tiger Global, Insight partners, Advent International, Blume Ventures, and Gunosy Capital.

Job Description

About the team:
Do you like, love, sip, breathe, sit, sleep and drink data? If yes, then you’ll fit in this team like a pen in a cap. Developing ML models, consuming and understanding those outputs, using them to make decisions, and the rationale for the decisions - all a part of the Data Science team’s skill set.
About the role
As a Data Scientist working closely with the credit risk team, you will be involved in building and maintaining models and artiefacts which will enable slice maintain its lead in underwriting users.
What You will do
End-to-end data science activities such as data wrangling, feature generation, building and evaluating predictive models.
Work with conventional and unconventional data sources to enable informed business decisions
Cross-team collaboration to understand the requirements and to provide support in putting the models in production
Provide post deployment support to the teams to monitor the model performance and make changes as required

Qualifications

What you will need
Bachelors or Master’s degree in a quantitative discipline - Statistics, Operations Research, Computer Science, Engineering, Economics etc
2-4 years of proven experience in data science or related fields
Good understanding of Credit risk products, and experienced in credit risk analytics.
Experience with Python and basic SQL
Excellent problem solving skills
Experience with supervised and unsupervised learning techniques such as classification, regression (using linear, non-linear & ensemble), clustering, dimensionality reduction, recommender systems, optimizers
Experience with NLP and computer vision is good to have
Experience with common data-structures and libraries such as numpy, pandas, scikit-learn, etc.

Additional Information

Life at slice
Life so good, you’d think we’re kidding:
Competitive salaries. Period.
An extensive medical insurance that looks out for our employees & their dependants. We’ll love you and take care of you, our promise.
Flexible working hours. Just don’t call us at 3AM, we like our sleep schedule.
Tailored vacation & leave policies so that you enjoy every important moment in your life.
A reward system that celebrates hard work and milestones throughout the year. Expect a gift coming your way anytime you kill it here.
Learning and upskilling opportunities. Seriously, not kidding.
Good food, games, and a cool office to make you feel like home. An environment so good, you’ll forget the term “colleagues can’t be your friends”.
We believe in equality. Period.

At slice, we are committed to building a diverse and talented workforce. We never discriminate on the basis of race, sex, religion, colour, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status,medical condition, disability, or any other class or characteristic protected by the applicable law.

We consider all qualified job-seekers with criminal histories in a manner consistent with the applicable law. Additionally, we are committed to providing reasonable accommodations to qualified individuals with physical or mental disabilities in order to participate in the job application or interview process, perform essential job functions, and receive other benefits and privileges of employment.

Come join our crew!
Show Less
Report",#N/A,501 to 1000 Employees,Company - Private,Information Technology,Internet & Web Services,2010,Unknown / Non-Applicable
40,"Harman International
3.9",Data Scientist,Bengaluru,"HARMAN’s engineers and designers are creative, purposeful and agile. As part of this team, you’ll combine your technical expertise with innovative ideas to help drive cutting-edge solutions in the car, enterprise and connected ecosystem. Every day, you will push the boundaries of creative design, and HARMAN is committed to providing you with the opportunities, innovative technologies and resources to build a successful career.
A Career at HARMAN
As a technology leader that is rapidly on the move, HARMAN is filled with people who are focused on making life better. Innovation, inclusivity and teamwork are a part of our DNA. When you add that to the challenges we take on and solve together, you’ll discover that at HARMAN you can grow, make a difference and be proud of the work you do everyday.
I.Responsibility
To understand the complete business functionalities and requirements and map it to the collected/ shared data to create an understanding for development of solution functional architecture
Data collection and analysis to understand the business requirement and map it to the specific objective and generate exploratory insights from the data for different business components
Understand the problem and develop state of art AI/ML/DL models along with the MLOPS lifecycle to establish sustainable AI/ML production ecosystem
To design and develop optimization solutions using different methods and techniques, including heuristic optimization methods such as classical annealing/ quantum annealing
Design and develop production environment ready AI/ML, optimization model that could be deployed in cloud ecosystem leveraging different cloud components to enhance scalability, availability, and reliability.
Communicate the insights observed from the model
II.Skill Requirements
A.Programming Skill
Python, Java
Advance level understanding of programming concepts related to data science. Capabilities to develop ML and DL models using different frameworks and libraries such as SKlearn, tensorflow, pytorch, numpy, pandas etc.
Programming skills to develop APIs and cloud based integration for different requirements and utilizations in AI/ML/DL space.
B.Analytical Skills
The job responsibilities require following analytics skills
1.AI/ ML skills
Statistical and probability concepts expertise and skills to use them for insights generation and analysis
Classical machine learning skills
deep learning model development skills
2.Optimization Skills
Skills to design and develop optimization solutions leveraging the data collected keeping business objective and requirements in consideration
HARMAN is an Equal Opportunity /Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race,color, religion, sex, sexual orientation, gender identity, national origin,disability or Protected Veterans status. HARMAN offers a great work environment, challenging career opportunities, professional training and competitive compensation. (
www.harman.com
)
Apply Now: click Apply Now
Show Less
Report",#N/A,10000+ Employees,Company - Private,Manufacturing,Consumer Product Manufacturing,1980,$5 to $10 billion (USD)
41,"Whiteforce
3.4",Artificial Intellige,Bengaluru,"Employment Information
Industry Artificial Inte
Job level
Salary -
Experience -
Pay-Type
Close-date
JOB-IDJB-22243
LocationBangalore
Job Descriptions





What you will be doing :
Analyze the performance of various machine learning/DL algorithms on existing/new architectures
Identify bottlenecks and propose creative solutions to improve them.
Explore the commonality between deep neural networks and visual computing
Add new capabilities to data science architectures
Lead the design of components of our SaaS product.
Collaborate with other architects to define the overall user experience for the users of the platform.
Define industry standards for producing large-scale machine learning applications.
What we need to see :
Minimum 5 years experience in machine and deep learning
You have an MS or PhD degree in computer science, computer architecture, or data science/artificial intelligence
You have explored architectures for Machine learning (with focus on DNN)
You lo
Skills
Show Less
Report",#N/A,201 to 500 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
42,"PayPal
4.2","Data Scientist, Product Analytics",Bengaluru,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: What you need to know about the role- You will be a Product Analytics expert ready to take on challenging problems, conducting rigorous data, user behavior analysis to help root cause, understand key metrics and improve customer experiences in a critical PayPal Product area that touches all PayPal users. Meet our team You will be part of the Product Analytics team for Strategic and Shared Services Team focused on Global Identity, Resolutions and Trust to accelerate the positive impact on PayPal customers’ experiences and delivering against enterprise priorities. You will work alongside the brightest Product Management, Engineering Data Science and Engineering talent, tackling interesting analytics problems in the space of Identity verification
Job Description:
Your way to impact
Who are we looking for?
You are curious, inquisitive and excited about digging into data to uncover insights and answer business questions
You are hyper-analytical and intellectually honest truly believing in data-driven decisions and communicating your ideas through storytelling
You are a highly motivated, result-oriented self-starter, enjoy working in a fast-pace environment, and can deliver successful results with minimal guidance
You are a energized, fun-loving, adventurous team player
Your day to day
In your day to day role, you will
Become a domain expert in your Product area that touches all Paypal users and conduct rigorous data analysis in the area to help root cause, understand key metrics and improve customer experiences
Cross functional Collaboration - Partner with Product Management, Engineering, Data stakeholders in the Identity domain to effectively build structured, analytics solutions and facilitate understanding of Customer behavior, data driven decisions on Product/feature optimization
Translate business questions to analyses, conduct exploratory/investigative data analyses, identify key metrics, establish cause & effect, demonstrate great attention to detail, provide coherent and holistic recommendations based on data or experiment results
Roll up your sleeves and work with large quantities of data using SQL and Excel, statistical programming languages like R or Python, and visualizing content through reporting tools such as Tableau, Qlikview etc.,
Build exec-facing insights, reports, and dashboards to track the key performance indicators of individual products/initiatives as well as overall business
Present findings and recommendations to Senior-level, Technical and Non-Technical stakeholders
Demonstrate exceptional communication skills, both written and verbal
Be comfortable with frequent context-switching in a fast-paced, results oriented environment
What do you need to bring-
Data driven mindset with a degree in any quantitative discipline such as Engineering, Computer Science, Economics, Statistics or Mathematics
3-5 years of experience analyzing large, multi-dimensional data sets and synthesizing insights into actionable recommendations
Exceptional communication skills, both written and verbal, to influence cross-functional teams.
Fluent in SQL, Excel, and visualization tools such as Tableau or Qlikview; experience with a statistical programming language like R or Python preferred
Domain expertise in the area of Payments or other consumer financial products, Product Analytics, Experimentation (A/B testing)
Prior work experience in Product/Business/Risk analytics space would be highly valued
Experience/Knowledge of statistical data mining would be a plus
Our Benefits:

At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:

To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
Start your job application: click Apply Now
Show Less
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
